ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2025-12-09 17:48:54 867m





Relative time;Average1;Average2
s;V;V
-0.00015112;-0.010754403;-0.00010006625
-0.0001511;-0.010988006;-0.00011939723
-0.00015108;-0.011043626;-0.00010216744
-0.00015106;-0.011101718;-0.00013665173
-0.00015104;-0.011468809;-0.00011808707
-0.00015102;-0.012005231;-0.00012439065
-0.000151;-0.011356333;-0.00010953398
-0.00015098;-0.011021378;-0.00012179506
-0.00015096;-0.011868036;-0.00012753008
-0.00015094;-0.01048372;-0.00011064637
-0.00015092;-0.011257453;-0.00012802448
-0.0001509;-0.011541733;-0.00013165831
-0.00015088;-0.011971859;-0.00010018985
-0.00015086;-0.010910139;-0.00011195653
-0.00015084;-0.011211722;-0.00013613262
-0.00015082;-0.010120337;-0.00010617207
-0.0001508;-0.011727132;-0.00012021299
-0.00015078;-0.01187916;-0.00012770312
-0.00015076;-0.011316781;-0.00011131381
-0.00015074;-0.011691288;-0.00011479932
-0.00015072;-0.010052357;-0.00011640612
-0.0001507;-0.011539261;-0.00011549148
-0.00015068;-0.011610948;-0.00010733391
-0.00015066;-0.011690052;-0.00012298162
-0.00015064;-0.01111037;-0.00010115392
-0.00015062;-0.011340265;-0.00010229104
-0.0001506;-0.011481169;-0.00012790088
-0.00015058;-0.011630724;-0.00010434279
-0.00015056;-0.012759189;-0.00011823539
-0.00015054;-0.012927284;-0.00011274757
-0.00015052;-0.011824776;-0.00011165989
-0.0001505;-0.011235206;-0.00011277229
-0.00015048;-0.011084414;-0.00011517012
-0.00015046;-0.011963207;-0.00012397041
-0.00015044;-0.010669119;-0.00012154786
-0.00015042;-0.011599824;-0.00012337714
-0.0001504;-0.012110291;-0.0001294088
-0.00015038;-0.010016513;-0.00010496079
-0.00015036;-0.011910059;-0.00011208013
-0.00015034;-0.011301949;-9.5641382E-5
-0.00015032;-0.010960814;-0.00011133853
-0.0001503;-0.011415661;-0.00010342816
-0.00015028;-0.010100561;-0.00012251194
-0.00015026;-0.011068346;-9.934937E-5
-0.00015024;-0.010835979;-0.00010498551
-0.00015022;-0.011739492;-0.00012102874
-0.0001502;-0.010860699;-0.000129656
-0.00015018;-0.011371165;-0.00012055906
-0.00015016;-0.01160106;-0.00012317938
-0.00015014;-0.011936015;-0.00011170933
-0.00015012;-0.011371165;-0.00010599903
-0.0001501;-0.010709907;-0.00011173405
-0.00015008;-0.011237678;-0.00012448953
-0.00015006;-0.011379817;-0.0001105475
-0.00015004;-0.011065874;-0.000115269
-0.00015002;-0.01186062;-0.00011830955
-0.00015;-0.011326669;-0.00010488663
-0.00014998;-0.011826012;-0.00012261082
-0.00014996;-0.01094969;-0.00012389625
-0.00014994;-0.011222846;-0.00013257295
-0.00014992;-0.011510833;-0.0001028596
-0.0001499;-0.011636904;-0.00012248722
-0.00014988;-0.011708592;-0.00012065794
-0.00014986;-0.011335321;-0.00010763054
-0.00014984;-0.011643084;-0.00011136325
-0.00014982;-0.011871744;-0.00012204226
-0.0001498;-0.012918632;-0.00013793717
-0.00014978;-0.011833428;-0.00011517012
-0.00014976;-0.010412032;-0.00010498551
-0.00014974;-0.011106662;-0.0001286672
-0.00014972;-0.011063402;-9.6580739E-5
-0.0001497;-0.011432965;-0.00011455212
-0.00014968;-0.012781437;-0.00010780358
-0.00014966;-0.011562745;-0.00013272127
-0.00014964;-0.011959499;-0.00011279701
-0.00014962;-0.010429336;-0.00011240149
-0.0001496;-0.011399593;-0.0001211029
-0.00014958;-0.011478697;-0.00010263712
-0.00014956;-0.011403301;-0.00012300634
-0.00014954;-0.011059694;-0.00011640612
-0.00014952;-0.011929835;-0.00011944667
-0.0001495;-0.012013883;-0.00011309365
-0.00014948;-0.010903959;-0.00010824854
-0.00014946;-0.011648028;-0.00012468729
-0.00014944;-0.011628252;-0.00011863091
-0.00014942;-0.010734627;-0.00013373478
-0.0001494;-0.011664096;-0.00013239991
-0.00014938;-0.011127674;-0.00012288274
-0.00014936;-0.012026243;-0.00011961971
-0.00014934;-0.011596116;-0.00011521956
-0.00014932;-0.011004074;-0.00012132538
-0.0001493;-0.012460078;-0.00010933622
-0.00014928;-0.01160724;-0.00010886654
-0.00014926;-0.011455213;-0.00011331613
-0.00014924;-0.012211643;-0.00011610948
-0.00014922;-0.012546597;-0.00011467572
-0.0001492;-0.010671591;-0.00011289589
-0.00014918;-0.010928678;-0.0001091879
-0.00014916;-0.01091879;-0.00011640612
-0.00014914;-0.011461393;-0.00010592487
-0.00014912;-0.011524429;-0.0001281728
-0.0001491;-0.011295769;-0.0001040956
-0.00014908;-0.010818675;-0.00012070738
-0.00014906;-0.010297084;-0.00011853203
-0.00014904;-0.01161342;-0.00012362433
-0.00014902;-0.010444168;-0.00012228946
