ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2025-12-09 17:57:24 263m





Relative time;Average1;Average2
s;V;V
-0.00015112;-0.0081897269;-0.0013416184
-0.0001511;-0.0092198291;-0.001282933
-0.00015108;-0.0089643748;-0.0014004419
-0.00015106;-0.0085901688;-0.0013739299
-0.00015104;-0.0084396579;-0.0013519747
-0.00015102;-0.008006076;-0.0014397957
-0.000151;-0.0084203262;-0.0014643746
-0.00015098;-0.0083526653;-0.0012616681
-0.00015096;-0.007223143;-0.0013933997
-0.00015094;-0.0086840655;-0.0013584646
-0.00015092;-0.0093468658;-0.0014246065
-0.0001509;-0.0093965759;-0.0014284729
-0.00015088;-0.0099544328;-0.0013754489
-0.00015086;-0.0083623311;-0.0014599559
-0.00015084;-0.0085763604;-0.0012943939
-0.00015082;-0.010067661;-0.0013041978
-0.0001508;-0.0088760014;-0.0014288871
-0.00015078;-0.0082435794;-0.0014346866
-0.00015076;-0.0092474458;-0.0014697598
-0.00015074;-0.0088276722;-0.0013206297
-0.00015072;-0.0083927095;-0.0015274787
-0.0001507;-0.010057995;-0.0013414803
-0.00015068;-0.0091162665;-0.0013304337
-0.00015066;-0.0083195253;-0.0013835958
-0.00015064;-0.0086854463;-0.0013974041
-0.00015062;-0.0086343555;-0.0013772439
-0.0001506;-0.0085542671;-0.001407208
-0.00015058;-0.0095346593;-0.0013751727
-0.00015056;-0.0075890641;-0.0014962718
-0.00015054;-0.008314002;-0.0013483845
-0.00015052;-0.0080378351;-0.0012910799
-0.0001505;-0.0088525272;-0.001451809
-0.00015048;-0.010407346;-0.0013104116
-0.00015046;-0.0088249106;-0.0013569457
-0.00015044;-0.0095139468;-0.0013001934
-0.00015042;-0.0098191111;-0.0012841757
-0.0001504;-0.0079798401;-0.001403756
-0.00015038;-0.008155206;-0.0014102459
-0.00015036;-0.01019884;-0.0013859432
-0.00015034;-0.0084562279;-0.0013896714
-0.00015032;-0.0093661975;-0.001327672
-0.0001503;-0.0087392988;-0.0013909142
-0.00015028;-0.009246065;-0.0013971279
-0.00015026;-0.0088097214;-0.0013354047
-0.00015024;-0.0081206852;-0.0014214306
-0.00015022;-0.0096547918;-0.0015350733
-0.0001502;-0.0096409835;-0.0013936759
-0.00015018;-0.0094863301;-0.00141715
-0.00015016;-0.0082560069;-0.0012011876
-0.00015014;-0.0095719418;-0.0012600111
-0.00015012;-0.0085004146;-0.0011775753
-0.0001501;-0.0085363162;-0.0015000001
-0.00015008;-0.0094794259;-0.0013228391
-0.00015006;-0.0089560898;-0.0013753108
-0.00015004;-0.0091784041;-0.001289561
-0.00015002;-0.0094476667;-0.0012591826
-0.00015;-0.0082477219;-0.0014230876
-0.00014998;-0.008679923;-0.0013091688
-0.00014996;-0.0093882909;-0.001428749
-0.00014994;-0.0091770232;-0.0013710302
-0.00014992;-0.0094366201;-0.0013001934
-0.0001499;-0.0088400997;-0.0014856394
-0.00014988;-0.0083512845;-0.0014259874
-0.00014986;-0.0086813038;-0.0012687104
-0.00014984;-0.0089436623;-0.0013568076
-0.00014982;-0.0079743168;-0.0013586027
-0.0001498;-0.0089174264;-0.0013568076
-0.00014978;-0.009020989;-0.001388981
-0.00014976;-0.0094752834;-0.0014063795
-0.00014974;-0.0088801439;-0.0014059653
-0.00014972;-0.0092267333;-0.0013921569
-0.0001497;-0.008996134;-0.0011735709
-0.00014968;-0.0087765814;-0.0013845624
-0.00014966;-0.0095084234;-0.0013609501
-0.00014964;-0.0093068216;-0.0014395196
-0.00014962;-0.0087089205;-0.0013373378
-0.0001496;-0.0087931514;-0.0013725491
-0.00014958;-0.010030379;-0.0013783486
-0.00014956;-0.0089326156;-0.0014846728
-0.00014954;-0.0088815248;-0.0015067662
-0.00014952;-0.0083070978;-0.0013742061
-0.0001495;-0.0090665565;-0.0013503177
-0.00014948;-0.0097818286;-0.0014130075
-0.00014946;-0.0081759185;-0.0012616681
-0.00014944;-0.0079522234;-0.00140707
-0.00014942;-0.0082463411;-0.0012732671
-0.0001494;-0.0086260705;-0.0013532174
-0.00014938;-0.0094987576;-0.0013612263
-0.00014936;-0.0089284731;-0.001488263
-0.00014934;-0.0085017954;-0.00136744
-0.00014932;-0.0078569459;-0.001403894
-0.0001493;-0.0084410387;-0.0013264292
-0.00014928;-0.0092488266;-0.0013855289
-0.00014926;-0.0084341345;-0.0011971832
-0.00014924;-0.0091383599;-0.0012587684
-0.00014922;-0.0089505665;-0.0013824911
-0.0001492;-0.0085956921;-0.0013452086
-0.00014918;-0.008979564;-0.0013936759
-0.00014916;-0.0096437452;-0.0013522508
-0.00014914;-0.0083512845;-0.0014374483
-0.00014912;-0.0098674403;-0.0013851147
-0.0001491;-0.008138636;-0.0014276444
-0.00014908;-0.0086260705;-0.0014553991
-0.00014906;-0.0086978738;-0.0013441039
-0.00014904;-0.0096492685;-0.0013427231
-0.00014902;-0.0089740406;-0.0014015466
-0.000149;-0.0085625521;-0.0012809998
-0.00014898;-0.0079577468;-0.0014177024
-0.00014896;-0.008405137;-0.0013653688
-0.00014894;-0.0094531901;-0.0013051644
-0.00014892;-0.009037559;-0.0013267054
-0.0001489;-0.0092004974;-0.0013688208
-0.00014888;-0.008380282;-0.0013325049
-0.00014886;-0.0081676335;-0.0013957471
-0.00014884;-0.0076719141;-0.0014240542
-0.00014882;-0.0090444632;-0.001441867
-0.0001488;-0.009911627;-0.0013637118
-0.00014878;-0.0092336374;-0.0014511186
-0.00014876;-0.0096009393;-0.0013971279
-0.00014874;-0.0080378351;-0.0013450705
-0.00014872;-0.0097348802;-0.0013954709
-0.0001487;-0.0086619721;-0.0012848661
-0.00014868;-0.008055786;-0.0013145541
-0.00014866;-0.0086674955;-0.0014893677
-0.00014864;-0.0094020992;-0.0013012981
-0.00014862;-0.0085280312;-0.0013325049
-0.0001486;-0.0088663356;-0.0012354323
-0.00014858;-0.0091190282;-0.0013958852
-0.00014856;-0.0091756424;-0.0014527756
-0.00014854;-0.0088207681;-0.0012684342
-0.00014852;-0.0088870481;-0.0014696217
-0.0001485;-0.0091590724;-0.0013815245
-0.00014848;-0.0075669707;-0.001435239
-0.00014846;-0.0089008564;-0.0013406518
-0.00014844;-0.0077464791;-0.0013536317
-0.00014842;-0.0090914115;-0.0013566695
-0.0001484;-0.0091066007;-0.001369097
-0.00014838;-0.010063519;-0.0012859708
-0.00014836;-0.0076498208;-0.0015168463
-0.00014834;-0.0088718589;-0.0013327811
-0.00014832;-0.0095802268;-0.0014348247
-0.0001483;-0.0082352944;-0.0013602597
-0.00014828;-0.0097417844;-0.0013550125
-0.00014826;-0.009736261;-0.0012058824
-0.00014824;-0.0089850873;-0.0013087546
-0.00014822;-0.0089740406;-0.00138401
-0.0001482;-0.0097334994;-0.001393952
-0.00014818;-0.0098688211;-0.0013637118
-0.00014816;-0.0085832646;-0.0015294119
-0.00014814;-0.0074206023;-0.0013387187
