ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2025-11-28 17:34:09 609m





Relative time;Average1;Average2
s;V;V
-0.0001879;-0.00014372581;-4.0443208E-5
-0.00018788;-0.00016185413;-7.8203751E-5
-0.00018786;-0.00012204094;-5.7596006E-5
-0.00018784;-0.00011787468;-5.6132734E-5
-0.00018782;-0.00015087959;-5.0381263E-5
-0.0001878;-0.00012116704;-5.6498552E-5
-0.00018778;-0.00011417585;-4.8796052E-5
-0.00018776;-9.2043864E-5;-4.9182193E-5
-0.00018774;-0.00011492781;-5.9912853E-5
-0.00018772;-0.00014986343;-5.0848697E-5
-0.0001877;-0.00011415553;-4.4833024E-5
-0.00018768;-0.00013232449;-6.348974E-5
-0.00018766;-9.8181477E-5;-6.2758104E-5
-0.00018764;-8.4727505E-5;-5.6092088E-5
-0.00018762;-0.00015659041;-6.4322992E-5
-0.0001876;-0.00012376841;-5.1356777E-5
-0.00018758;-9.4929762E-5;-6.0420934E-5
-0.00018756;-0.00011602526;-6.0177055E-5
-0.00018754;-0.00012340259;-5.8165056E-5
-0.00018752;-0.0001381979;-6.6314667E-5
-0.0001875;-0.00012399197;-6.355071E-5
-0.00018748;-0.00012226449;-4.2983611E-5
-0.00018746;-9.0092835E-5;-4.3308782E-5
-0.00018744;-0.00015372484;-5.4953987E-5
-0.00018742;-0.00011693981;-3.9609956E-5
-0.0001874;-0.00011112737;-6.9403797E-5
-0.00018738;-0.00011962247;-4.9385425E-5
-0.00018736;-0.00013193835;-5.4953987E-5
-0.00018734;-0.00013004829;-5.9486066E-5
-0.00018732;-0.00014522973;-5.1986797E-5
-0.0001873;-8.8588917E-5;-5.869346E-5
-0.00018728;-0.00012779241;-5.0747081E-5
-0.00018726;-0.00010358745;-4.5524013E-5
-0.00018724;-0.00010289646;-5.4588169E-5
-0.00018722;-0.00011297678;-5.5868532E-5
-0.0001872;-0.00011381003;-6.771697E-5
-0.00018718;-0.00015250544;-4.79628E-5
-0.00018716;-8.9320553E-5;-5.5807563E-5
-0.00018714;-0.00012941827;-6.0685135E-5
-0.00018712;-0.00010366875;-6.0746105E-5
-0.0001871;-9.946184E-5;-2.7151822E-5
-0.00018708;-0.0001458191;-5.5441745E-5
-0.00018706;-0.00010527428;-4.9304132E-5
-0.00018704;-7.7289206E-5;-3.5159171E-5
-0.00018702;-0.00011592365;-5.7941501E-5
-0.000187;-8.2979708E-5;-5.1011283E-5
-0.00018698;-9.7490487E-5;-5.2230676E-5
-0.00018696;-0.00010903408;-4.6682437E-5
-0.00018694;-0.00013726303;-5.0564172E-5
-0.00018692;-0.00010509137;-3.8288947E-5
-0.0001869;-6.8611191E-5;-5.2372938E-5
-0.00018688;-0.00012697948;-5.4141059E-5
-0.00018686;-0.00013017023;-5.983156E-5
-0.00018684;-0.00010080317;-4.0158683E-5
-0.00018682;-6.771697E-5;-5.1173868E-5
-0.0001868;-7.9524761E-5;-5.6884693E-5
-0.00018678;-0.00010655464;-5.3368776E-5
-0.00018676;-7.838666E-5;-5.212906E-5
-0.00018674;-0.00012561782;-5.1458394E-5
-0.00018672;-9.5478488E-5;-6.2087438E-5
-0.0001867;-9.6616589E-5;-4.2983611E-5
-0.00018668;-7.1537735E-5;-4.8755405E-5
-0.00018666;-9.4238772E-5;-5.629532E-5
-0.00018664;-8.6922413E-5;-6.4424608E-5
-0.00018662;-0.00012159383;-5.5441745E-5
-0.0001866;-0.00011639108;-6.2717458E-5
-0.00018658;-0.00013754755;-6.3774265E-5
-0.00018656;-0.00010596527;-5.8937339E-5
-0.00018654;-0.00010720499;-5.0686111E-5
-0.00018652;-0.00015870403;-4.960898E-5
-0.0001865;-0.00013512909;-7.0135433E-5
-0.00018648;-0.0001081805;-5.0787727E-5
-0.00018646;-8.5906252E-5;-5.0828374E-5
-0.00018644;-0.00013126768;-4.070741E-5
-0.00018642;-0.0001173666;-6.3936851E-5
-0.0001864;-0.00012360583;-5.263714E-5
-0.00018638;-0.0001344381;-5.4344291E-5
-0.00018636;-0.00012681689;-4.247553E-5
-0.00018634;-9.574269E-5;-5.212906E-5
