ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2025-12-01 16:47:33 770m





Relative time;Average1;Average2
s;V;V
-8.776E-5;-0.0036899457;-0.00011169624
-8.774E-5;-0.0040342241;-0.00010781157
-8.772E-5;-0.0034272453;-0.00011130777
-8.77E-5;-0.003802601;-0.00010969321
-8.768E-5;-0.0037253933;-0.00010295574
-8.766E-5;-0.0040172287;-0.0001059178
-8.764E-5;-0.0036588684;-0.00011158698
-8.762E-5;-0.0034670631;-0.00010266439
-8.76E-5;-0.0037336482;-0.00010284649
-8.758E-5;-0.0037064556;-0.00011165982
-8.756E-5;-0.0038021154;-0.00010966893
-8.754E-5;-0.0036700368;-0.00010384193
-8.752E-5;-0.0037394752;-0.000103065
-8.75E-5;-0.0038021154;-0.00010043071
-8.748E-5;-0.0037948317;-0.00011828803
-8.746E-5;-0.0037127681;-0.00010709534
-8.744E-5;-0.003723451;-0.00010028504
-8.742E-5;-0.0034597794;-0.00012095873
-8.74E-5;-0.0036258488;-0.00011867649
-8.738E-5;-0.0038904915;-0.00011040944
-8.736E-5;-0.0037472445;-0.00011259457
-8.734E-5;-0.0038497026;-0.00011176907
-8.732E-5;-0.0038215387;-0.00010582068
-8.73E-5;-0.0037341338;-0.00011366285
-8.728E-5;-0.0037924038;-0.00010193602
-8.726E-5;-0.0036331325;-0.00010901339
-8.724E-5;-0.0037496725;-0.00010998456
-8.722E-5;-0.0037074267;-0.00011277666
-8.72E-5;-0.0038730106;-0.00010783585
-8.718E-5;-0.0038011443;-0.00010220309
-8.716E-5;-0.0037132537;-9.8330564E-5
-8.714E-5;-0.0036996574;-0.00010350202
-8.712E-5;-0.0034884288;-0.00011098
-8.71E-5;-0.0034893999;-0.00010750808
-8.708E-5;-0.0035534969;-0.00010804222
-8.706E-5;-0.00398081;-0.0001081879
-8.704E-5;-0.0038079424;-0.00010425468
-8.702E-5;-0.0037273356;-9.6412511E-5
-8.7E-5;-0.0037074267;-0.00011281308
-8.698E-5;-0.0036375028;-0.00012269469
-8.696E-5;-0.0036583828;-0.00010698608
-8.694E-5;-0.0036637243;-0.00010375695
-8.692E-5;-0.0037705525;-0.00011384494
-8.69E-5;-0.0034180192;-0.00010543222
-8.688E-5;-0.0038215387;-0.00010583282
-8.686E-5;-0.0035204772;-0.00010720459
-8.684E-5;-0.0036996574;-9.9811592E-5
-8.682E-5;-0.0037428743;-0.0001034656
-8.68E-5;-0.0039346796;-0.00010592994
-8.678E-5;-0.0041114318;-0.00011594509
-8.676E-5;-0.0038176541;-0.00011114996
-8.674E-5;-0.0035981705;-0.00010265225
-8.672E-5;-0.0037457878;-0.00010499519
-8.67E-5;-0.0039686704;-0.00011371141
-8.668E-5;-0.0036175939;-0.00011454904
-8.666E-5;-0.0038594142;-0.0001052744
-8.664E-5;-0.0038812655;-0.00011036088
-8.662E-5;-0.0037355905;-0.00010861278
-8.66E-5;-0.0037263645;-9.2102962E-5
-8.658E-5;-0.0036156515;-0.00010551719
-8.656E-5;-0.0036792629;-0.00010375695
-8.654E-5;-0.0036263344;-0.00011095572
-8.652E-5;-0.0036307046;-0.00010203313
-8.65E-5;-0.0039196265;-0.00011772961
-8.648E-5;-0.0037569562;-0.00010298002
-8.646E-5;-0.0035573816;-0.0001019603
-8.644E-5;-0.0035442708;-0.0001122668
-8.642E-5;-0.0035816607;-0.00011725616
-8.64E-5;-0.0038385342;-0.00010901339
-8.638E-5;-0.0040002333;-0.00010418184
-8.636E-5;-0.0038079424;-0.00010966893
-8.634E-5;-0.0040065459;-0.0001059785
-8.632E-5;-0.0035559248;-0.00011184191
-8.63E-5;-0.003773466;-0.00010012722
-8.628E-5;-0.0037603553;-0.00010895269
-8.626E-5;-0.0038327072;-0.00010781157
-8.624E-5;-0.0036991718;-0.00010898911
-8.622E-5;-0.0039104004;-0.00011315299
-8.62E-5;-0.003796774;-0.00011096786
-8.618E-5;-0.0036850899;-0.00010614845
-8.616E-5;-0.0040172287;-9.3244082E-5
-8.614E-5;-0.0034855153;-0.0001156416
-8.612E-5;-0.003895833;-0.00010572357
-8.61E-5;-0.0038895204;-0.00010232448
-8.608E-5;-0.0036195362;-0.00011078577
-8.606E-5;-0.0039880937;-0.0001036477
